Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0149;ASOCIACION DE FAMILIARES Y AMIGOS DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DEL AYUNTAMIENTO DE VALDEPOLO (AFADEVA);18/09/17;CALLE REAL S/NReal s/n;24920;ALDEA DEL PUENTE (LA);LEON;987 336405;afadeva@afadeva.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES, VOLUNTARIADO
A-0150;ASOCIACION CENTRO DE DESARROLLO RURAL DEL CARRION Y UCIEZA;24/05/11;PLAZA DE LA CONCORDIA, 8-BAJO;34410;MONZON DE CAMPOS;PALENCIA;979 808800;cdrucieza@cdrtcampos.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;POBLACIÓN GENERAL, VOLUNTARIADO
A-0151;COMITE CIUDADANO ANTISIDA DE PALENCIA (CCASP);04/11/14;CALLE ACACIAS (LAS) 2;34003;PALENCIA;PALENCIA;979 105705;sidapalencia@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;TOXICOMANÍAS Y ADICCIONES, VOLUNTARIADO
A-0152;ASOCIACIÓN SÍNDROME DE DOWN DE SEGOVIA;20/01/21;CALLE ANDRES REGUERA ANTON,  S/N (CENTRO CISS);40001;SEGOVIA;SEGOVIA;921 443395;asidos@ya.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0153;ASOCIACIÓN SEGOVIANA DE ENFERMOS MENTALES, FAMILIARES Y AMIGOS  AMANECER;21/12/20;C/ ALTOS DE LA PIEDAD, S/N.;40002;SEGOVIA;SEGOVIA;921 431608;segovia@asociacionamanecer.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;JUVENTUD, ENFERMEDAD MENTAL, POBLACIÓN GENERAL
A-0154;ASOCIACION CENTRO JUVENIL DON BOSCO;23/06/15;CALLE SAN JUAN BOSCO 11;24009;LEON;LEON;987 213192;coordinador@cjboscoleon.org;www.cjboscoleon.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0155;ASOCIACION INICIATIVAS TRABAJO SOCIAL JUAN LUIS VIVES;03/02/16;CALLE FRONTON 7;24007;LEON;LEON;649 685548;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0156;ASOCIACION ALZHEIMER BIERZO;22/10/20;CALLE RAMON GONZALEZ ALEGRE 12;24400;PONFERRADA;LEON;987 412838;alzheimer@afabierzo.org;www.afabierzo.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES, VOLUNTARIADO
A-0157;ASOCIACION RAICES ROBLANAS;03/11/11;CALLE EMILIA MENENDEZ 7;24640;ROBLA (LA);LEON;686 758232;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0158;ASOCIACIÓN SORIANA DE AYUDA A LAS PERSONAS CON DISCAPACIDAD INTELECTUAL Y SUS FAMILIAS - ASAMIS;30/03/20;CALLE POLVORIN (DEL) S/N;42005;SORIA;SORIA;975 231143;gerencia@asamis.org;www.asamis.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, CULTURALES, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0159;ALZHEIMER SORIA, ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE SORIA;04/11/20;CALLE SAN HIPOLITO 7-Bajo;42001;SORIA;SORIA;975 240745;info@alzheimersoria.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE, SANITARIAS;PERSONAS MAYORES, ENFERMEDAD MENTAL
A-0160;ASOCIACION DIOCESANA DE TIEMPO LIBRE DE PALENCIA;06/10/10;CALLE SAN MARCOS S/N (PASAJE DEL SEMINARIO-CASA DE LA IGLESIA);34005;PALENCIA;PALENCIA;979 701241;;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0161;ASOCIACIÓN DE PADRES DE LA ARMUÑA "LA BESANA" - ASPAR;26/11/18;CALLE ESCUELAS 33;37797;CALZADA DE VALDUNCIEL;SALAMANCA;923 310223;asparlabesana@feapscyl.org;www.asparlabesana.es;ASOCIACIÓN;PROMOCION DEL MUNDO RURAL, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA;VOLUNTARIADO
A-0162;ASOCIACION EQUIPO EDUCACION ESPECIAL RURAL;25/06/15;CARRETERA CABEZABELLOSA 2- BAJO;37420;GOMECELLO;SALAMANCA;629 039590;;;ASOCIACIÓN;PROMOCION DEL MUNDO RURAL, FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA;EXCLUSION SOCIAL, VOLUNTARIADO
A-0163;ASOCIACIÓN DE PADRES DE MINUSVÁLIDOS COMARCA PEÑARANDA (ACOPEDIS);26/11/20;CALLE CAMPO CHARRO 9;37300;PEÑARANDA DE BRACAMONTE;SALAMANCA;923 540812;acopedis@acopedis.es;;ASOCIACIÓN;DEPORTIVAS;
A-0164;FUNDACION DESARROLLO Y PERSONA;24/08/11;CALLE PROFESOR ADOLFO MIAJA DE LA MUELA , 7 - 6º A;47014;VALLADOLID;VALLADOLID;983 331217;info@desarrolloypersona.org;www.desarrolloypersona.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0165;CARITAS DIOCESANA DE SALAMANCA;22/08/19;C/ MONROY, 2-4;37002;SALAMANCA;SALAMANCA;923 269698;voluntariado@caritasalamanca.org;www.caritasalamanca.org;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0166;FRATERNIDAD CRISTIANA DE ENFERMOS Y MINUSVÁLIDOS (FRATER SORIA);26/11/20;CALLE SAN JUAN 5;42003;SORIA;SORIA;975 211330;fratersoria@gmail.com;fratersp.org;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0167;FAEMA SALUD MENTAL ÁVILA;24/11/20;CALLE CAPITAN MENDEZ VIGO 10, Bajo;05002;AVILA;AVILA;920 352732;direccion@asociacionfaema.org;www.asociacionfaema.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD MENTAL
A-0168;FUNDACIÓN ABULENSE PARA EL EMPLEO (FUNDABEM);26/11/20;CALLE RIO TERA 9;05004;AVILA;AVILA;920 223947;fundabem@yahoo.es;www.fundabem.com;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0169;ASOCIACIÓN DE ALCOHÓLICOS REHABILITADOS DE SEGOVIA;25/11/20;CALLE PUENTE DE SAN LORENZO (DEL), 22, 1º;40003;SEGOVIA;SEGOVIA;921 433269;a.r.seg@terra.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;TOXICOMANÍAS Y ADICCIONES
A-0170;PATRONATO HOGAR DE TRANSEUNTES "SAN GENADIO";06/05/15;CALLE PARAISIN (EL) 4;24400;PONFERRADA;LEON;987 403456;;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0171;FUNDACION SAN CEBRIAN;29/08/17;PLAZA JUAN XXIII 5;34005;PALENCIA;PALENCIA;979 706954;cebrian@feapscyl.org;WWW.FUNDACIONSANCEBRIAN.COM;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0172;ASOCIACIÓN LEONESA DE MUJERES OPERADAS DE CÁNCER DE MAMA (ALMON);24/11/20;CALLE BURGO NUEVO 15 2º DCHA;24001;LEON;LEON;987 230041;info@almom.es;www.almom.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0173;ASOCIACIÓN SALMANTINA DE ESCLEROSIS MÚLTIPLE - ASDEM;21/01/21;CALLE CORREGIDOR CABALLERO LLANES 9-13;37005;SALAMANCA;SALAMANCA;923 240101;voluntariado@asdem.org;www.asdem.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0174;ASOCIACION DE MUJERES SOLIDARIAS;22/07/15;CALLE JUAN FERRERAS 2bajo;24004;LEON;LEON;987 209717;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], (MUJER)
A-0176;OBISPADO DE SEGOVIA (CENTRO DE ORIENTACIÓN FAMILIAR);17/10/19;PLAZA SAN ESTEBAN 15;40003;SEGOVIA;SEGOVIA;921 435833;cofsegovia@gmaill.com;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, INFANCIA, JUVENTUD
A-0177;CENTRO DE ORIENTACIÓN FAMILIAR-C.O.F. LEÓN;24/11/20;CALLE CARDENAL LANDAZURI 27;24003;LEON;LEON;987 231020;cofleon@terra.es;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, POBLACIÓN GENERAL
A-0178;ASPRODES - FEAPS SALAMANCA;20/04/18;CALLE MARISECA 1;37003;SALAMANCA;SALAMANCA;923 186893;asprodes@asprodes.es;www.asprodes.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0179;ASOCIACION CARACOL;04/11/14;BAJOS DEL ESTADIO TORALIN, LOCAL 8;24400;PONFERRADA;LEON;987 414349;info@caracolsida.org;www.caracolsida.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;ENFERMEDAD FÍSICA, VOLUNTARIADO
A-0180;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE CISTIERNA;01/10/13;PLAZA DE EPAÑA, S/N (AYUNTAMIENTO);24800;CISTIERNA;LEON;699 778690;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0181;ASOCIACION DE HEMOFILIA DE BURGOS (HEMOBUR);09/11/11;PASEO DE LOS COMENDADORES S/N CENTRO GRACILIANO URBANEJA;09001;BURGOS;BURGOS;947 277426;asoburgos@hemofilia.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0182;FUNDACION CIUDAD RODRIGO 2006;06/10/10;CALLE CAMPO DE SAN VICENTE 8;37500;CIUDAD-RODRIGO;SALAMANCA;923 460330;info@turismociudadrodrigo.com;www.fundacionciudadrodrigo.com;FUNDACIÓN;CULTURALES;VOLUNTARIADO
A-0183;COMITE CIUDADANO ANTI-SIDA DE VALLADOLID;14/10/11;CALLE GENERAL ALMIRANTE 7 PLANTA 1ª PTA. DCHA.;47003;VALLADOLID;VALLADOLID;983 306466;ccasv@aclad.net;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, SANITARIAS, DEFENSA DE LOS DERECHOS HUMANOS;ENFERMEDAD FÍSICA
A-0184;ASOCIACION SALAMANCA ACOGE;29/07/20;AVENIDA CEDROS 53 BAJO;37004;SALAMANCA;SALAMANCA;923 019031;salamanca.acoge@redacoge.org;www.salamancaacoge.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0185;HERMANDAD DE VETERANOS DE LAS FUERZAS ARMADAS;24/03/15;PASEO DE MORET, Nº 3;28008;MADRID;MADRID;91 5443692;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0186;ALIANZA CRISTIANA DE JOVENES DE LA YMCA;10/05/18;C/ Santa Engracia, 17-4º;28010;MADRID;MADRID;923 244202;salamanca@ymca.es;www.ymca.es;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, OCIO Y TIEMPO LIBRE;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], INFANCIA, JUVENTUD, PERSONAS MAYORES, VOLUNTARIADO
A-0187;CARITAS DIOCESANA DE PALENCIA;09/07/15;PLAZA CARMELITAS 2;34005;PALENCIA;PALENCIA;979 743035;;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], INFANCIA, JUVENTUD
A-0188;ASOCIACION CLUB DE OCIO Y ACTIVIDAD FISICA-C.O.A.F;06/10/10;PASEO BELEN 11 FACULTAD DE EDUCACION Y TRABAJO SOCIAL;47013;VALLADOLID;VALLADOLID;983 423435;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, EDUCATIVAS, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, INFANCIA, JUVENTUD
A-0189;ASOCIACION DE FAMILIARES DE ENFERMOS ALZHEIMER DE ASTORGA;23/02/21;PLAZA SANTA COLOMBA S/N;24700;ASTORGA;LEON;987 602554;info@alzheimerastorga.es;www.alzheimerastorga.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0190;FEAFES CASTILLA Y LEÓN (FECLEM);24/11/20;PLAZA MARCOS FERNANDEZ Nº 2, OFICINA F.;47014;VALLADOLID;VALLADOLID;983 301509;direccion@saludmentalcyl.org;www.saludmentalcyl.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;ENFERMEDAD MENTAL
A-0191;ASOCIACION  "NUEVA GENTE";23/06/14;C/ Toro  nº  78-80, entreplanta 3 , oficina 6;37002;SALAMANCA;SALAMANCA;923 216128;nuevagente@telefonica.net;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;EXCLUSION SOCIAL, INFANCIA, JUVENTUD, TOXICOMANÍAS Y ADICCIONES
A-0192;ASOCIACIÓN DEL TELÉFONO DE LA ESPERANZA DE BURGOS-TELEACOGIDA;26/11/20;CALLE SANTANDER 19;09004;BURGOS;BURGOS;947 204242;telefono@esperanzacyl.org;www.esperanzacyl.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, SANITARIAS, OCIO Y TIEMPO LIBRE;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], INFANCIA, JUVENTUD, POBLACIÓN GENERAL
A-0193;PRONISA PLENA INCLUSIÓN ÁVILA;24/11/20;CALLE PERPETUO SOCORRO S/N;05003;AVILA;AVILA;920 223194;pronisa@feapscyl.e.telefonica.net;www.pronisa.org;ASOCIACIÓN;DEPORTIVAS, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0194;FRATERNIDAD CRISTIANA DE ENFERMOS Y MINUSVÁLIDOS (FRATER);26/11/20;CALLE SANTA ISABEL 2;40001;SEGOVIA;SEGOVIA;921 442920;fratersg@gmail.com;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0195;APADEFIM - ASOCIACIÓN PROVINCIAL DE PADRES Y PROTECTORES DE DEFICIENTES FÍSICOS, INTELECTUALES Y MENTALES;26/11/20;C/ OBISPO QUESADA, 4;40006;SEGOVIA;SEGOVIA;921 424570;apadefim@hotmail.com;;ASOCIACIÓN;OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA, ENFERMEDAD FÍSICA, ENFERMEDAD MENTAL, VOLUNTARIADO
A-0196;ASOCIACION PRO-DEFICIENTES PSIQUICOS DE CASTILLA (ADECAS);09/05/17;CARRETERA MAGDALENA (LA) 11;34880;GUARDO;PALENCIA;979 853302;adecas@terra.es;www.fundacionpersonas.es;ASOCIACIÓN;OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0197;PLATAFORMA DE VOLUNTARIADO DE LEÓN DE E. VOLUNT.;24/11/20;CALLE SERNA (LA) 3 CENTRO SOCIAL LA SERNA;24007;LEON;LEON;664 324051;pvoluntariadoleon@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0198;FUNDACION INTRAS;29/09/20;CALLE MARTIN SANTOS ROMERO 1;47016;VALLADOLID;VALLADOLID;983 399633;intras@intras.es;www.intras.es;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD MENTAL
A-0199;FUNDACIÓN UNICEF-COMITÉ ESPAÑOL;26/11/20;PLAZA UNIVERSIDAD 8 ENTREPLANTA B;47003;VALLADOLID;VALLADOLID;983 212924;castleon@unicef.es;www.unicef.es;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EMERGENCIAS Y PROTECCION CIVIL, EDUCATIVAS, DEFENSA DE LOS DERECHOS HUMANOS, COOPERACION AL DESARROLLO;INFANCIA, VOLUNTARIADO
A-0200;A.CULT.Y SOC.DE EXALUM@S DE PRIMARIA CULT.GRAL.TAQ.Y F.P.AMOR DE DIOS "PRICULTAMEFOR";06/07/15;CALLE IGLESIA 5;49191;PELEAS DE ABAJO;ZAMORA;615 666639;;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;EXCLUSION SOCIAL
A-0201;ASOCIACIÓN SÍNDROME DE DOWN DE SALAMANCA;26/11/20;CALLE FRANCISCO GIL S/N, ESQUINA A C/ PEDRO VIDAL;37003;SALAMANCA;SALAMANCA;923 187903;downsalamanca@downcastillayleon.es;www.downsalmanca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0202;ASOCIACIÓN ABULENSE DEL SÍNDROME DE DOWN;25/11/20;AVENIDA ESPAÑA (DE) 35;05004;AVILA;AVILA;920 256257;sindrome@downavila.es;www.downavila.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;DISCAPACIDAD PSIQUICA
A-0203;FEDERACIÓN PROVINCIAL DE JUBILADOS Y PENSIONISTAS DE SEGOVIA;25/11/20;CALLE BALTASAR GRACIAN 26 BAJO;40006;SEGOVIA;SEGOVIA;921 423744;segovia.fede@hotmail.com;;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES, POBLACIÓN GENERAL
A-0204;ASOCIACIÓN ZAMORANA CONTRA LA ANOREXIA Y BULIMIA (AZAYB);26/03/15;CALLE DIEGO DE LOSADA 12- BIS- 3º C;49018;ZAMORA;ZAMORA;605 833688;;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, SANITARIAS;ENFERMEDAD FÍSICA, ENFERMEDAD MENTAL
A-0205;ASOCIACION PARA LA PROMOCION Y FORMACION INTEGRAL DE LA MUJER;08/11/11;C/ ANDRES REGUERA, S/N;40004;SEGOVIA;SEGOVIA;921 463468;APYFIM-ALCAZAR@affinet.net;www.apyfim.asociaciones.segovia.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, DEFENSA DE LOS DERECHOS HUMANOS;INFANCIA, (MUJER)
A-0206;ASOCIACION JUVENIL "AURYN";24/02/16;CALLE CAMPOS GOTICOS (LOS) 3BAJO;24005;LEON;LEON;987 209764;centrojuvenilauryn@hotmail.com;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;
A-0207;ASOCIACIÓN LEONESA DE AFECTADOS DE FIBROMIALGIA Y/O ASTENIA CRÓNICA (ALEFAS-LEÓN);24/11/20;CALLE FRONTON 7;24008;LEON;LEON;620 042754;alefas_2000@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;ENFERMEDAD FÍSICA
A-0208;ASOCIACIÓN LEONESA DE HEMOFILIA;24/11/20;CALLE CONSTITUCION (LA) 145 ENTREPLANTA C;24600;POLA DE GORDON (LA);LEON;987 206594;asoleon@hemofilia.com;www.hemofilia.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;ENFERMEDAD FÍSICA
A-0209;ASOCIACION PARAMESA DE VOLUNTARIADO;19/04/12;CALLE LAS MONJAS, S/N (CENTRO CÍVICO);24240;SANTA MARIA DEL PARAMO;LEON;987 350623;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], PERSONAS MAYORES, ENFERMEDAD FÍSICA, ENFERMEDAD MENTAL, VOLUNTARIADO
A-0210;ASOCIACIÓN LEONESA DE ESCLEROSIS MÚLTIPLE - ALDEM;26/11/20;CALLE OBISPO CUADRILLERO 13;24007;LEON;LEON;987 226699;aldem@aldemleon.es;www.aldemleon.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0211;ASOCIACIÓN LEONESA DE ATENCIÓN A PERSONAS AFECTADAS DE PARÁLISIS CEREBRAL (ASPACE-LEÓN);23/02/21;CARRETERA CARBAJAL S/N-PABELLON SAN JOSE (SAN CAYETANO)-;24194;LEON;LEON;987 875194;aspaceleon@aspaceleon.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0212;ASOCIACION ESTARIVEL, DESARROLLO SOCIAL Y ACTIVIDADES EDUCATIVAS;29/10/19;CALLE BARLOVENTO 2 5º A;47014;VALLADOLID;VALLADOLID;605 853494;estarivel@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, INFANCIA, JUVENTUD
A-0213;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE LEÓN - (ALZHEIMER-LEÓN);24/11/20;CALLE FOTOGRAFO PEPE GRACIA, S/N;24005;LEON;LEON;987 260796;info@alzheimerleon.org;www.alzheimerleon.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0214;ASOCIACION PLATAFORMA DE VOLUNTARIADO DE PALENCIA;16/03/17;CALLE GASPAR ARROYO 4;34005;PALENCIA;PALENCIA;979 706700;APVP-2005@hotmail.com;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0215;ASOCIACION PROTECTORA DE DEFICIENTES MENTALES (ASPRONA);31/05/19;CALLE PILAR MIRÓ, Nº 1 PARC. 15 (POLÍGONO DE ARGALES);47008;VALLADOLID;VALLADOLID;983 225125;asprona@asprona-valladolid.es;www.asprona-valladolid.es;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA
A-0216;FUNDACION CIBERVOLUNTARIOS;11/07/19;CALLE DE SORIA Nº 9, QUINTA PLANTA;28005;MADRID;MADRID;91 5422900;info@cibervoluntarios.org;www.cibervoluntarios.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;POBLACIÓN GENERAL
A-0217;ASOCIACION DE VIUDAS "EL CARMEN";31/01/12;CALLE SANTO DOMINGO GUZMAN;24350;VEGUELLINA DE ORBIGO;LEON;987 376240;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES, POBLACIÓN GENERAL
A-0218;PROCOMAR VALLADOLID ACOGE, PROMOCION DE COLECTIVOS MARGINADOS VALLADOLID ACOGE;25/06/15;CALLE SANTUARIO 7;47002;VALLADOLID;VALLADOLID;983 309915;valladolidacoge@telefonica.net;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0219;ASOCIACIÓN MUNDO COOPERANTE CASTILLA Y LEÓN;24/11/20;CALLE MIGUEL ISCAR 14 1º;47001;VALLADOLID;VALLADOLID;983 549114;castillaleon@mundocooperante.org;www.mundocooperante.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL
A-0220;ASOCIACION DE FAMILIARES Y ENFERMOS PSIQUICOS VIRGEN DEL CAMINO - ASOVICA;05/10/20;POLG. IND. LAS CASAS C/ D - PARCELA 54, NAVE 7;42001;SORIA;SORIA;975 232196;direccion@asovica.es;www.asovica.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DEPORTIVAS, CULTURALES;ENFERMEDAD MENTAL
A-0221;ASOCIACION DEL VOLUNTARIADO MISIONERO CALASANCIO (V.M.C) DE CASTILLA Y LEÓN;30/07/15;PASEO ESPOLON (EL) 14;42001;SORIA;SORIA;975 221486;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0222;ASOCIACION EVA DE FINOJOSA DE MUJERES Y FAMILIAS SORIANAS DE AMBITO RURAL-AMFAR SORIA;13/08/13;CALLE SAN JUAN DE RABANERA 3 BAJO;42002;SORIA;SORIA;975 228539;amfarsoria@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;(MUJER)
A-0224;ASOCIACIÓN AMIGOS SÍNDROME DE DOWN DE LEÓN - AMIDOWN;24/11/20;CALLE SAN ANTONIO S/N.GRUPO ESCOLAR CERVANTES;24008;LEON;LEON;987 084948;amidown@amidown.org;www.amidown.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
